Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Torque_x_Toolwear,Temp_difference
1,301.1,310.9,1282,67.9,10,679.0,9.799999999999955
1,298.9,310.4,1546,37.7,159,5994.3,11.5
1,297.9,307.4,1606,35.5,14,497.0,9.5
0,297.0,308.1,1410,47.6,79,3760.4,11.100000000000023
2,302.4,310.7,1521,40.4,152,6140.8,8.300000000000011
1,298.2,308.4,1478,42.9,183,7850.7,10.199999999999989
1,298.2,308.3,1304,49.8,45,2241.0,10.100000000000023
2,300.5,309.9,1483,49.3,124,6113.2,9.399999999999977
2,298.8,308.6,1707,28.1,103,2894.3,9.800000000000011
2,300.5,312.0,1779,27.7,46,1274.2,11.5
2,303.4,312.2,1561,38.2,45,1719.0000000000002,8.800000000000011
2,303.7,312.7,1669,31.7,120,3804.0,9.0
1,300.6,311.9,1413,41.3,43,1775.8999999999999,11.299999999999955
1,296.9,307.8,1605,37.0,84,3108.0,10.900000000000034
2,301.9,309.7,1568,37.5,135,5062.5,7.800000000000011
1,301.8,310.6,1451,50.7,108,5475.6,8.800000000000011
1,302.4,310.1,1906,21.2,110,2332.0,7.7000000000000455
1,301.4,310.4,1334,43.2,133,5745.6,9.0
0,300.2,311.6,1547,37.7,217,8180.900000000001,11.400000000000034
1,302.0,309.9,1388,51.4,183,9406.199999999999,7.899999999999977
1,299.2,308.4,1350,51.3,96,4924.799999999999,9.199999999999989
1,297.4,309.0,1570,37.9,154,5836.599999999999,11.600000000000023
1,299.0,310.1,1375,48.9,59,2885.1,11.100000000000023
1,298.3,308.6,1570,34.8,175,6089.999999999999,10.300000000000011
0,298.4,308.2,1987,19.8,198,3920.4,9.800000000000011
0,295.6,306.1,1256,62.3,142,8846.6,10.5
2,296.7,307.4,1533,32.5,182,5915.0,10.699999999999989
1,302.3,310.9,1377,46.8,166,7768.799999999999,8.599999999999966
2,301.3,311.0,1463,50.2,214,10742.800000000001,9.699999999999989
2,298.3,308.5,1434,46.2,148,6837.6,10.199999999999989
1,300.3,310.4,1336,54.4,52,2828.7999999999997,10.099999999999966
2,298.1,308.1,1390,49.8,85,4233.0,10.0
1,302.4,311.1,1880,24.5,156,3822.0,8.700000000000045
1,300.3,309.8,1466,41.2,156,6427.200000000001,9.5
2,300.4,311.7,1478,39.9,185,7381.5,11.300000000000011
0,297.2,308.1,1770,27.2,140,3808.0,10.900000000000034
1,300.3,309.1,1699,30.3,178,5393.400000000001,8.800000000000011
1,298.0,308.6,1610,33.1,56,1853.6000000000001,10.600000000000023
1,300.2,311.5,1549,37.2,67,2492.4,11.300000000000011
1,301.0,310.9,1392,52.9,173,9151.699999999999,9.899999999999977
1,303.9,313.0,1433,48.4,178,8615.199999999999,9.100000000000023
2,302.2,311.6,1379,42.9,13,557.6999999999999,9.400000000000034
1,302.4,311.0,1555,40.6,205,8323.0,8.600000000000023
2,302.3,311.7,1442,41.7,127,5295.900000000001,9.399999999999977
1,302.1,311.4,1603,35.9,104,3733.6,9.299999999999955
2,297.0,307.8,1579,34.1,94,3205.4,10.800000000000011
1,302.3,311.3,1652,32.8,108,3542.3999999999996,9.0
0,300.4,309.8,1409,47.5,138,6555.0,9.400000000000034
2,298.8,309.8,1490,38.6,127,4902.2,11.0
2,301.8,311.1,1597,29.8,177,5274.6,9.300000000000011
1,300.9,312.1,1423,40.2,63,2532.6000000000004,11.200000000000045
1,302.6,312.3,1534,34.3,31,1063.3,9.699999999999989
2,300.2,310.1,1474,44.0,198,8712.0,9.900000000000034
2,304.2,313.5,1739,28.1,80,2248.0,9.300000000000011
1,298.2,307.8,2029,19.9,96,1910.3999999999999,9.600000000000023
1,295.7,306.2,2270,14.6,149,2175.4,10.5
2,302.1,311.5,1383,53.6,108,5788.8,9.399999999999977
2,298.9,310.1,1469,53.2,189,10054.800000000001,11.200000000000045
2,301.5,310.4,1350,54.9,153,8399.699999999999,8.899999999999977
1,298.6,310.0,1522,40.3,32,1289.6,11.399999999999977
2,301.0,310.9,1765,24.2,179,4331.8,9.899999999999977
1,299.8,309.2,1504,38.7,212,8204.400000000001,9.399999999999977
2,300.7,310.8,1724,30.0,76,2280.0,10.100000000000023
1,300.0,311.4,1484,37.0,183,6771.0,11.399999999999977
1,300.9,310.1,2090,17.8,133,2367.4,9.200000000000045
1,302.4,310.3,1900,24.4,113,2757.2,7.900000000000034
2,301.2,312.4,1505,39.6,102,4039.2000000000003,11.199999999999989
1,302.2,311.3,1378,55.5,35,1942.5,9.100000000000023
1,303.5,313.0,1547,40.3,73,2941.8999999999996,9.5
2,299.7,311.1,1649,32.7,185,6049.500000000001,11.400000000000034
1,301.9,311.3,1501,40.8,59,2407.2,9.400000000000034
1,297.6,308.6,1326,62.4,173,10795.199999999999,11.0
1,302.9,310.8,1610,32.2,17,547.4000000000001,7.900000000000034
1,300.7,310.9,1637,37.2,115,4278.0,10.199999999999989
1,300.1,309.4,1694,27.4,44,1205.6,9.299999999999955
2,301.6,310.4,1452,45.7,164,7494.8,8.799999999999955
1,297.4,308.3,1284,60.3,50,3015.0,10.900000000000034
0,298.2,308.3,1824,24.2,49,1185.8,10.100000000000023
1,301.0,310.9,1570,34.0,192,6528.0,9.899999999999977
1,295.6,306.3,1911,20.9,74,1546.6,10.699999999999989
1,303.8,313.1,1394,45.4,36,1634.3999999999999,9.300000000000011
1,299.5,309.4,1602,31.5,193,6079.5,9.899999999999977
1,300.1,311.3,1305,64.7,66,4270.2,11.199999999999989
0,300.9,310.7,1609,28.7,39,1119.3,9.800000000000011
2,302.9,312.3,1426,44.7,157,7017.900000000001,9.400000000000034
2,298.0,307.7,1621,34.9,194,6770.599999999999,9.699999999999989
1,301.4,310.6,1578,33.0,181,5973.0,9.200000000000045
1,299.1,310.3,1411,42.1,74,3115.4,11.199999999999989
1,299.0,308.7,2248,16.8,204,3427.2000000000003,9.699999999999989
1,301.9,311.0,1541,38.9,193,7507.7,9.100000000000023
1,298.5,309.9,1482,42.1,15,631.5,11.399999999999977
1,301.8,310.3,1341,50.5,64,3232.0,8.5
2,298.9,310.0,1323,52.9,106,5607.4,11.100000000000023
1,300.7,310.1,1542,35.5,191,6780.5,9.400000000000034
0,297.2,308.5,1482,39.3,187,7349.099999999999,11.300000000000011
0,304.0,313.2,1612,31.7,206,6530.2,9.199999999999989
1,300.1,311.5,1454,52.4,90,4716.0,11.399999999999977
1,298.4,308.1,1279,53.1,9,477.90000000000003,9.700000000000045
1,297.3,308.5,1503,43.3,90,3896.9999999999995,11.199999999999989
1,303.7,312.8,1832,23.6,35,826.0,9.100000000000023
1,300.1,310.1,1306,64.7,57,3687.9,10.0
1,299.4,310.4,1582,31.7,181,5737.7,11.0
2,298.6,309.6,1397,54.1,47,2542.7000000000003,11.0
1,299.2,308.5,1370,52.4,61,3196.4,9.300000000000011
2,301.5,310.6,1382,58.1,67,3892.7000000000003,9.100000000000023
1,299.0,308.7,1706,28.6,206,5891.6,9.699999999999989
2,300.7,311.0,1418,49.3,106,5225.799999999999,10.300000000000011
2,299.1,308.3,1506,38.0,125,4750.0,9.199999999999989
1,297.5,309.0,1470,43.5,191,8308.5,11.5
0,300.9,312.0,1720,27.9,202,5635.799999999999,11.100000000000023
1,297.4,308.7,1468,46.6,94,4380.400000000001,11.300000000000011
1,302.7,310.6,1686,26.3,9,236.70000000000002,7.900000000000034
1,304.0,313.0,1350,61.1,88,5376.8,9.0
2,301.9,309.6,1385,45.8,217,9938.599999999999,7.7000000000000455
0,299.1,308.3,1521,36.5,40,1460.0,9.199999999999989
1,297.3,308.3,1504,36.3,45,1633.4999999999998,11.0
2,298.8,309.9,1495,35.2,214,7532.8,11.099999999999966
1,300.7,310.6,1540,52.7,85,4479.5,9.900000000000034
2,300.8,310.1,1686,26.9,128,3443.2,9.300000000000011
1,297.5,308.8,1477,39.0,127,4953.0,11.300000000000011
2,297.2,308.6,1498,44.4,9,399.59999999999997,11.400000000000034
1,300.2,309.5,1356,51.1,133,6796.3,9.300000000000011
1,300.6,312.0,1430,42.7,130,5551.0,11.399999999999977
1,296.3,307.1,1654,29.6,188,5564.8,10.800000000000011
1,297.3,308.0,1527,35.1,165,5791.5,10.699999999999989
2,301.6,310.4,1455,39.0,118,4602.0,8.799999999999955
1,302.5,310.3,1405,57.4,152,8724.8,7.800000000000011
0,299.3,308.6,1520,41.4,67,2773.7999999999997,9.300000000000011
1,298.9,310.3,1496,36.3,161,5844.299999999999,11.400000000000034
1,297.5,308.6,1437,43.3,34,1472.1999999999998,11.100000000000023
1,300.4,311.7,1460,39.6,162,6415.2,11.300000000000011
1,302.1,311.5,1477,45.4,111,5039.4,9.399999999999977
2,299.2,308.3,1582,45.5,107,4868.5,9.100000000000023
1,302.1,310.7,1314,52.8,8,422.4,8.599999999999966
1,300.9,310.5,1894,21.9,188,4117.2,9.600000000000023
1,299.7,310.6,1479,38.0,137,5206.0,10.900000000000034
1,298.0,308.6,1626,33.3,50,1664.9999999999998,10.600000000000023
1,301.1,309.6,1502,48.9,160,7824.0,8.5
1,302.2,310.9,1531,37.5,60,2250.0,8.699999999999989
1,297.9,309.5,1390,47.9,127,6083.3,11.600000000000023
0,299.6,311.0,1714,30.2,128,3865.6,11.399999999999977
1,297.8,307.5,1372,54.1,157,8493.7,9.699999999999989
1,299.1,308.5,1689,32.1,192,6163.200000000001,9.399999999999977
2,298.5,309.5,1315,48.9,127,6210.3,11.0
1,298.3,310.1,1545,36.3,90,3266.9999999999995,11.800000000000011
1,303.4,312.2,1580,35.8,90,3221.9999999999995,8.800000000000011
0,301.5,310.5,1453,48.0,124,5952.0,9.0
1,300.4,311.2,1530,32.0,169,5408.0,10.800000000000011
2,298.1,308.6,1551,42.8,0,0.0,10.5
1,297.8,308.9,1506,33.5,26,871.0,11.099999999999966
2,297.4,309.1,1582,35.9,180,6462.0,11.700000000000045
1,300.2,309.6,1430,52.7,47,2476.9,9.400000000000034
0,300.3,311.6,1463,41.6,102,4243.2,11.300000000000011
1,302.0,310.8,1445,49.1,2,98.2,8.800000000000011
2,302.6,312.2,1458,38.8,34,1319.1999999999998,9.599999999999966
0,297.2,308.4,2182,17.3,119,2058.7000000000003,11.199999999999989
2,300.4,311.7,1508,45.4,164,7445.599999999999,11.300000000000011
2,300.1,310.2,1429,42.0,206,8652.0,10.099999999999966
1,301.4,310.4,1388,45.3,188,8516.4,9.0
2,302.6,312.4,1410,50.3,33,1659.8999999999999,9.799999999999955
1,300.7,309.5,1685,31.1,27,839.7,8.800000000000011
1,301.6,310.8,1418,44.7,46,2056.2000000000003,9.199999999999989
1,299.9,311.3,1802,24.4,151,3684.3999999999996,11.400000000000034
0,298.5,309.4,1414,46.7,102,4763.400000000001,10.899999999999977
0,300.8,310.8,1466,45.2,188,8497.6,10.0
1,301.2,310.8,1479,41.2,155,6386.0,9.600000000000023
1,303.6,313.0,1534,39.7,115,4565.5,9.399999999999977
1,302.3,311.7,1465,43.5,117,5089.5,9.399999999999977
2,300.2,311.6,1751,28.0,162,4536.0,11.400000000000034
1,303.4,311.8,2268,15.8,20,316.0,8.400000000000034
1,302.2,311.7,1471,45.6,140,6384.0,9.5
2,300.5,309.3,1589,34.9,91,3175.9,8.800000000000011
1,297.4,308.8,1651,34.1,163,5558.3,11.400000000000034
1,296.8,308.0,1497,41.7,231,9632.7,11.199999999999989
1,297.3,308.3,2188,17.0,32,544.0,11.0
2,300.7,310.6,1505,35.6,105,3738.0,9.900000000000034
1,298.0,307.6,1694,29.1,169,4917.900000000001,9.600000000000023
1,299.3,308.8,1550,45.8,170,7785.999999999999,9.5
1,300.3,311.7,1707,33.6,158,5308.8,11.399999999999977
1,301.2,310.3,1499,38.1,61,2324.1,9.100000000000023
1,302.2,310.4,1743,28.1,170,4777.0,8.199999999999989
1,301.2,310.6,1389,45.3,64,2899.2,9.400000000000034
1,298.8,308.7,1591,31.1,68,2114.8,9.899999999999977
1,298.8,308.8,1555,40.6,61,2476.6,10.0
1,297.3,308.6,1511,35.7,120,4284.0,11.300000000000011
2,304.2,313.4,1713,23.5,50,1175.0,9.199999999999989
1,302.4,310.9,1560,31.8,172,5469.6,8.5
0,297.0,307.7,1834,23.8,195,4641.0,10.699999999999989
1,300.7,311.8,1564,36.8,11,404.79999999999995,11.100000000000023
1,298.1,308.7,1341,55.7,30,1671.0,10.599999999999966
1,301.3,311.1,1647,28.2,140,3948.0,9.800000000000011
1,297.4,308.5,1369,53.2,43,2287.6,11.100000000000023
1,300.8,309.6,1680,28.7,22,631.4,8.800000000000011
1,300.6,310.0,1658,34.7,88,3053.6000000000004,9.399999999999977
0,300.5,309.8,1324,72.8,159,11575.199999999999,9.300000000000011
2,296.2,307.2,1389,48.6,7,340.2,11.0
1,303.4,312.0,1521,35.9,215,7718.5,8.600000000000023
1,297.0,307.9,1493,46.1,173,7975.3,10.899999999999977
1,298.6,309.9,1393,45.5,38,1729.0,11.299999999999955
1,302.3,311.7,1400,41.6,136,5657.6,9.399999999999977
1,298.2,307.9,1847,23.6,69,1628.4,9.699999999999989
2,301.6,310.7,1813,24.6,210,5166.0,9.099999999999966
1,300.5,309.3,1475,46.8,94,4399.2,8.800000000000011
2,300.7,309.7,1523,38.2,73,2788.6000000000004,9.0
1,303.4,311.8,1366,50.9,200,10180.0,8.400000000000034
0,298.2,308.4,1678,34.6,81,2802.6,10.199999999999989
1,301.0,311.9,1454,41.9,33,1382.7,10.899999999999977
1,300.0,311.1,1425,47.8,179,8556.199999999999,11.100000000000023
1,297.0,307.8,1583,37.2,189,7030.8,10.800000000000011
1,299.2,310.5,1384,48.7,93,4529.1,11.300000000000011
2,302.9,312.3,1339,52.1,145,7554.5,9.400000000000034
2,299.1,308.6,2329,14.6,95,1387.0,9.5
1,301.4,310.7,1280,61.0,106,6466.0,9.300000000000011
1,297.9,307.8,1451,38.2,80,3056.0,9.900000000000034
1,300.7,309.8,1363,53.1,183,9717.300000000001,9.100000000000023
0,298.9,310.1,1491,45.3,133,6024.9,11.200000000000045
0,302.2,311.6,1534,37.2,41,1525.2,9.400000000000034
1,303.6,311.8,1567,31.7,97,3074.9,8.199999999999989
1,301.5,310.5,1479,34.2,147,5027.400000000001,9.0
1,303.7,312.3,1922,23.1,193,4458.3,8.600000000000023
2,298.8,310.0,1486,38.5,55,2117.5,11.199999999999989
2,301.2,310.8,1734,31.3,64,2003.2,9.600000000000023
1,300.7,311.1,1478,46.8,165,7721.999999999999,10.400000000000034
2,297.8,307.4,1330,51.7,183,9461.1,9.599999999999966
1,301.4,310.7,1786,26.1,123,3210.3,9.300000000000011
1,303.7,312.7,1426,45.5,192,8736.0,9.0
1,300.5,309.3,1417,51.5,231,11896.5,8.800000000000011
2,298.2,308.0,1577,35.9,151,5420.9,9.800000000000011
1,298.2,309.2,1922,22.6,132,2983.2000000000003,11.0
1,299.3,309.2,1541,37.2,118,4389.6,9.899999999999977
1,300.5,311.6,1425,42.4,102,4324.8,11.100000000000023
1,299.0,310.2,1477,37.9,60,2274.0,11.199999999999989
2,300.5,309.4,1877,23.8,31,737.8000000000001,8.899999999999977
1,301.7,310.6,1471,43.8,80,3504.0,8.900000000000034
1,299.4,309.1,1207,66.5,66,4389.0,9.700000000000045
1,302.4,310.1,1426,46.8,95,4446.0,7.7000000000000455
1,300.6,310.6,1497,38.2,83,3170.6000000000004,10.0
2,297.5,308.4,1350,52.2,157,8195.4,10.899999999999977
1,299.6,310.9,1448,46.3,196,9074.8,11.299999999999955
1,298.9,309.0,1601,32.3,202,6524.599999999999,10.100000000000023
1,296.3,307.2,1637,31.6,27,853.2,10.899999999999977
1,302.6,312.1,1519,38.1,178,6781.8,9.5
1,300.7,310.8,1653,31.6,111,3507.6000000000004,10.100000000000023
1,300.6,311.7,1556,34.9,76,2652.4,11.099999999999966
2,298.8,309.1,1472,47.5,125,5937.5,10.300000000000011
1,297.4,308.3,1465,42.0,13,546.0,10.900000000000034
0,296.1,306.8,1645,31.0,41,1271.0,10.699999999999989
2,301.1,310.7,1583,40.7,2,81.4,9.599999999999966
0,300.7,310.5,1567,38.7,129,4992.3,9.800000000000011
1,301.5,310.8,1413,44.6,166,7403.6,9.300000000000011
1,299.1,308.9,1617,32.3,223,7202.9,9.799999999999955
1,297.9,307.6,1612,30.7,134,4113.8,9.700000000000045
1,303.5,312.9,1544,36.9,87,3210.2999999999997,9.399999999999977
0,301.4,310.7,1329,52.0,160,8320.0,9.300000000000011
2,298.2,307.9,1462,38.8,124,4811.2,9.699999999999989
1,300.7,310.7,1425,45.3,48,2174.3999999999996,10.0
2,300.1,309.0,1612,33.0,34,1122.0,8.899999999999977
1,301.7,310.3,1397,44.6,57,2542.2000000000003,8.600000000000023
2,299.5,309.1,1420,49.5,5,247.5,9.600000000000023
1,298.8,308.6,1584,34.4,42,1444.8,9.800000000000011
1,300.8,312.0,1374,50.2,154,7730.8,11.199999999999989
0,301.9,310.3,1653,32.4,100,3240.0,8.400000000000034
2,302.4,311.4,1508,41.2,60,2472.0,9.0
1,298.3,310.1,1408,45.3,78,3533.3999999999996,11.800000000000011
1,303.4,311.8,1438,58.9,22,1295.8,8.400000000000034
2,301.5,310.4,1276,55.6,158,8784.800000000001,8.899999999999977
1,296.5,307.6,1607,33.5,104,3484.0,11.100000000000023
1,300.9,310.0,2595,13.7,207,2835.8999999999996,9.100000000000023
1,300.8,310.9,1398,38.2,50,1910.0000000000002,10.099999999999966
1,301.8,310.8,1383,46.4,37,1716.8,9.0
2,300.5,311.6,1246,52.9,165,8728.5,11.100000000000023
2,297.3,308.8,1548,41.3,140,5782.0,11.5
1,298.8,308.4,1369,53.0,138,7314.0,9.599999999999966
1,297.3,308.2,1553,33.5,2,67.0,10.899999999999977
0,300.7,310.2,1877,24.8,64,1587.2,9.5
1,300.2,311.6,1500,39.0,174,6786.0,11.400000000000034
1,302.4,311.0,1486,40.4,192,7756.799999999999,8.600000000000023
1,298.3,309.3,1401,51.9,14,726.6,11.0
1,298.1,308.0,1638,35.1,38,1333.8,9.899999999999977
1,299.8,311.1,1300,64.2,165,10593.0,11.300000000000011
1,296.8,308.2,1361,53.8,193,10383.4,11.399999999999977
1,297.6,308.3,1410,47.0,191,8977.0,10.699999999999989
1,299.0,310.4,1981,21.2,125,2650.0,11.399999999999977
1,297.7,308.1,1697,29.1,179,5208.900000000001,10.400000000000034
1,302.1,310.9,1666,30.7,203,6232.099999999999,8.799999999999955
1,300.2,310.5,1416,46.7,90,4203.0,10.300000000000011
1,300.6,310.7,1438,48.5,78,3783.0,10.099999999999966
1,300.6,311.7,1432,39.2,2,78.4,11.099999999999966
2,298.4,309.4,1429,41.8,203,8485.4,11.0
2,297.8,309.1,1424,45.5,2,91.0,11.300000000000011
1,297.4,309.4,1466,45.5,53,2411.5,12.0
1,300.3,309.6,1597,31.8,73,2321.4,9.300000000000011
1,299.8,309.4,1510,42.5,146,6205.0,9.599999999999966
2,302.2,311.3,1521,40.6,52,2111.2000000000003,9.100000000000023
2,301.2,310.1,2280,15.7,11,172.7,8.900000000000034
2,299.4,309.0,1939,19.8,204,4039.2000000000003,9.600000000000023
1,297.2,308.8,1451,43.1,68,2930.8,11.600000000000023
2,302.3,311.7,1368,53.6,165,8844.0,9.399999999999977
1,302.0,310.5,1567,36.1,124,4476.400000000001,8.5
2,297.5,308.8,1455,46.1,147,6776.7,11.300000000000011
1,301.3,311.0,1554,47.7,84,4006.8,9.699999999999989
1,300.5,311.1,1547,37.2,7,260.40000000000003,10.600000000000023
1,296.8,308.1,1289,62.0,199,12338.0,11.300000000000011
2,300.2,311.7,1397,50.2,71,3564.2000000000003,11.5
2,299.2,308.4,1476,32.7,101,3302.7000000000003,9.199999999999989
1,299.1,310.4,1594,33.3,147,4895.099999999999,11.299999999999955
1,301.5,310.6,1522,36.6,202,7393.200000000001,9.100000000000023
1,303.8,312.6,1735,25.9,154,3988.6,8.800000000000011
2,301.1,310.2,1850,27.7,44,1218.8,9.099999999999966
1,296.9,307.9,1423,43.9,149,6541.099999999999,11.0
2,304.1,313.5,1470,45.8,85,3892.9999999999995,9.399999999999977
2,297.5,308.4,1403,44.3,25,1107.5,10.899999999999977
2,299.3,310.5,1462,40.5,24,972.0,11.199999999999989
0,298.9,309.6,1600,33.5,175,5862.5,10.700000000000045
1,300.6,309.3,1601,40.2,69,2773.8,8.699999999999989
2,297.6,308.5,1443,38.2,85,3247.0000000000005,10.899999999999977
1,300.3,309.4,1705,29.4,190,5586.0,9.099999999999966
1,299.6,309.0,1378,51.9,162,8407.8,9.399999999999977
1,297.3,308.4,1430,45.7,15,685.5,11.099999999999966
1,298.7,309.9,1446,43.3,46,1991.8,11.199999999999989
1,299.2,310.7,1477,44.0,19,836.0,11.5
1,300.6,309.4,1369,51.6,71,3663.6,8.799999999999955
1,301.1,311.1,1429,42.5,123,5227.5,10.0
1,297.5,308.6,1388,48.2,203,9784.6,11.100000000000023
2,303.5,312.3,1532,41.7,32,1334.4,8.800000000000011
1,300.0,311.5,1349,48.6,113,5491.8,11.5
1,300.2,311.5,1639,31.1,31,964.1,11.300000000000011
1,299.8,309.4,1633,27.5,29,797.5,9.599999999999966
2,299.0,310.0,1338,56.4,29,1635.6,11.0
1,298.3,308.0,1442,47.3,65,3074.5,9.699999999999989
2,300.6,311.7,1424,50.8,182,9245.6,11.099999999999966
1,300.5,312.0,1415,44.6,23,1025.8,11.5
1,297.3,308.4,1339,52.1,36,1875.6000000000001,11.099999999999966
2,298.8,309.6,1384,48.2,39,1879.8000000000002,10.800000000000011
1,298.4,309.5,1692,28.3,136,3848.8,11.100000000000023
1,297.5,308.6,1793,26.7,70,1869.0,11.100000000000023
2,303.1,312.5,1667,30.0,160,4800.0,9.399999999999977
1,300.5,311.5,1302,49.6,80,3968.0,11.0
2,301.6,310.6,1309,65.8,75,4935.0,9.0
1,298.2,308.1,1462,50.8,27,1371.6,9.900000000000034
1,301.3,311.0,1856,21.9,189,4139.099999999999,9.699999999999989
0,296.9,308.3,1474,39.2,177,6938.400000000001,11.400000000000034
1,300.3,309.9,1377,55.3,4,221.2,9.599999999999966
2,301.9,311.3,1522,35.6,63,2242.8,9.400000000000034
1,300.7,312.3,1715,26.8,146,3912.8,11.600000000000023
2,298.3,309.4,1595,29.0,103,2987.0,11.099999999999966
1,303.3,311.6,1301,45.1,219,9876.9,8.300000000000011
2,301.7,310.1,1644,34.6,5,173.0,8.400000000000034
2,300.4,310.6,1448,44.9,21,942.9,10.200000000000045
2,300.4,309.6,1521,35.0,119,4165.0,9.200000000000045
1,302.2,310.6,1348,48.4,161,7792.4,8.400000000000034
1,300.0,311.2,1504,37.9,58,2198.2,11.199999999999989
1,300.4,311.7,1314,59.5,160,9520.0,11.300000000000011
1,300.5,310.3,1435,43.3,31,1342.3,9.800000000000011
1,297.9,309.0,1456,46.5,52,2418.0,11.100000000000023
2,300.1,311.7,1400,48.5,205,9942.5,11.599999999999966
1,300.0,309.4,1460,43.5,102,4437.0,9.399999999999977
1,298.0,309.6,1403,51.3,122,6258.599999999999,11.600000000000023
1,300.5,311.4,1432,47.5,51,2422.5,10.899999999999977
2,302.2,311.7,1393,42.5,53,2252.5,9.5
1,297.3,308.7,1556,36.7,114,4183.8,11.399999999999977
1,299.4,308.9,1451,40.5,168,6804.0,9.5
1,298.9,308.9,1753,25.8,33,851.4,10.0
1,300.3,311.9,1692,31.5,187,5890.5,11.599999999999966
1,299.9,309.3,1620,31.1,196,6095.6,9.400000000000034
1,300.2,310.0,1486,40.1,182,7298.2,9.800000000000011
1,302.9,312.2,1469,42.0,214,8988.0,9.300000000000011
1,298.9,310.0,1776,25.7,51,1310.7,11.100000000000023
0,300.2,311.5,1454,42.8,88,3766.3999999999996,11.300000000000011
1,300.5,311.1,1491,42.6,11,468.6,10.600000000000023
1,300.8,310.8,1460,53.8,41,2205.7999999999997,10.0
1,302.3,311.8,1433,50.3,183,9204.9,9.5
1,301.9,310.8,1735,31.5,66,2079.0,8.900000000000034
1,303.4,311.5,1414,44.8,71,3180.7999999999997,8.100000000000023
1,303.5,311.9,1344,49.3,93,4584.9,8.399999999999977
2,299.1,310.4,1422,49.3,69,3401.7,11.299999999999955
2,298.0,309.4,1276,65.9,50,3295.0000000000005,11.399999999999977
1,300.1,309.6,1546,36.7,77,2825.9,9.5
1,299.6,309.1,2266,15.3,79,1208.7,9.5
1,298.2,308.4,1497,37.7,207,7803.900000000001,10.199999999999989
1,297.0,307.8,1774,28.0,188,5264.0,10.800000000000011
1,297.4,308.8,1620,33.4,186,6212.4,11.400000000000034
2,295.3,305.7,1473,38.5,189,7276.5,10.399999999999977
1,298.8,308.5,1450,50.8,57,2895.6,9.699999999999989
1,301.3,310.6,1966,22.6,161,3638.6000000000004,9.300000000000011
1,300.1,309.3,1570,36.8,189,6955.2,9.199999999999989
2,300.9,309.5,1758,26.8,116,3108.8,8.600000000000023
0,303.2,311.2,1475,43.1,20,862.0,8.0
2,301.5,311.1,1396,43.5,112,4872.0,9.600000000000023
2,297.4,309.1,1463,35.0,183,6405.0,11.700000000000045
1,298.0,308.3,1473,42.6,107,4558.2,10.300000000000011
1,300.4,309.5,1525,51.3,4,205.2,9.100000000000023
1,298.1,308.9,1351,52.4,102,5344.8,10.799999999999955
1,298.0,308.7,1506,47.0,208,9776.0,10.699999999999989
1,302.3,311.8,1281,51.7,61,3153.7000000000003,9.5
1,298.4,309.7,1457,44.2,175,7735.000000000001,11.300000000000011
1,299.2,308.5,1488,40.3,148,5964.4,9.300000000000011
2,303.8,312.7,1374,53.6,136,7289.6,8.899999999999977
1,302.9,312.2,1605,33.9,86,2915.4,9.300000000000011
1,298.8,309.6,1890,24.0,173,4152.0,10.800000000000011
1,303.6,312.0,1391,50.3,101,5080.299999999999,8.399999999999977
1,298.6,309.8,1597,35.9,213,7646.7,11.199999999999989
1,297.9,307.8,1365,46.9,73,3423.7,9.900000000000034
1,301.2,310.7,1517,39.4,107,4215.8,9.5
0,298.1,308.3,1530,42.0,184,7728.0,10.199999999999989
1,301.0,311.3,1342,50.9,60,3054.0,10.300000000000011
1,297.7,308.2,2007,19.3,181,3493.3,10.5
1,303.2,311.4,1324,54.2,228,12357.6,8.199999999999989
2,297.4,308.7,1582,31.9,161,5135.9,11.300000000000011
1,297.4,308.4,1664,28.1,67,1882.7,11.0
1,298.6,309.4,1471,48.0,141,6768.0,10.799999999999955
1,302.9,312.3,1435,47.7,173,8252.1,9.400000000000034
0,298.0,308.6,1526,41.8,160,6688.0,10.600000000000023
1,300.7,310.5,1561,33.2,48,1593.6000000000001,9.800000000000011
2,300.6,309.9,1449,42.4,169,7165.599999999999,9.299999999999955
1,301.7,311.0,1548,40.3,21,846.3,9.300000000000011
1,302.0,310.9,1539,34.2,13,444.6,8.899999999999977
1,302.6,311.0,1424,38.0,144,5472.0,8.399999999999977
1,299.0,310.4,1483,41.5,96,3984.0,11.399999999999977
0,297.5,308.5,1393,46.6,56,2609.6,11.0
1,298.1,309.0,1559,34.0,54,1836.0,10.899999999999977
1,298.9,308.6,1539,45.4,4,181.6,9.700000000000045
2,303.7,312.7,1316,51.8,197,10204.599999999999,9.0
0,298.4,308.4,1479,39.2,58,2273.6000000000004,10.0
2,301.0,309.8,1594,31.1,143,4447.3,8.800000000000011
1,302.3,311.2,1401,49.7,118,5864.6,8.899999999999977
1,298.1,308.5,1676,30.5,22,671.0,10.399999999999977
2,299.6,309.1,1435,48.4,143,6921.2,9.5
1,298.4,307.9,1743,27.3,134,3658.2000000000003,9.5
2,299.0,310.1,1705,30.1,84,2528.4,11.100000000000023
1,296.7,307.8,1605,31.3,128,4006.4,11.100000000000023
1,298.8,309.8,1485,42.4,74,3137.6,11.0
1,301.6,310.1,1362,55.8,70,3906.0,8.5
